SampleID,NbrMethylatedCpG_global_BSBolt,Total_reads,Mapped_read,Total_reads_minusSexAndUnknownChr,Mapped_reads_minusSexAndUnknownChr,Mapped_read_sexchr,Mapped_reads_unknownchr,mappabilityTotal,mappabilityNoSexUn,mappabilitySexChr,mappabilityUnChr,percent_duplicates_rawReads,percent_GC_rawReads,M.Seqs_rawReads,percent_duplicates_trimmedReads,percent_gc_trimmedReads,avg_sequence_length_trimmedReads,percent_fails_trimmedReads,total_sequences_trimmedReads,FamilyOfFather,clutch.ID,fatherID,matchV48,HK.W,No.Worms,Wnettofin,Slfin,ID,Family,Generat,Tr,Sex,MReads,Mapping,trtG1G2,outcome,Tlfin,Cfresfin,BC,BCgen,SPL.W,L.W,GON.W,BK.W,integration.RLU.,peak.RLU.sec.,Tpeak.min.,G.L_ratio,trtG1G2_NUM,PAT,brotherPairID
S35,20269040,9154859,7566954,8026131,6438226,244270,884458,82.6550578222996,80.215810083339,2.66820056977393,9.66107724870476,73.5%,34%,9.3,72.6514304007196,33,94.0902864806547,18.1818181818182,9154859,Fam6,NE_04,NA,7,3.9,0,931,43,S35,Fam06,P,C,M,9.2,64.8,Control,control,48,11.613,0.32883,0.42816,1,29.6,7,206,918395,119.5,92.61,0.6135,1,Control father group,BP04
S36,19600804,8884905,6766055,7735367,5616517,209569,939969,76.1522492362046,72.6082808999237,2.35870839361816,10.5793928016113,75.7%,34%,9.1,74.9662730632,34,94.2932305972883,27.2727272727273,8884905,Fam6,E_04,NA,8,1.5,5,1028,45,S36,Fam06,P,T,M,9,59,Exposed,infected,50,11.503,0.76574,1.26007,0.6,33,7.4,197,2175423,240,97.61,0.5713,4,Exposed father group,BP04
S37,16894794,7778243,6708161,6934939,5864857,220378,622926,86.2426257446572,84.5696984501234,2.83326195903111,8.00856954456167,71.8%,32%,7.8,71.471834065738,31,95.7249659081106,18.1818181818182,7778243,Fam11,E_05,S52,V48_071,2.5,0,852,42,S37,Fam11,O,TC,M,7.8,68.2,E_control,control,48,67.6,0.60187,0.19484,1,32.1,3,3.7,4534874.8,720,55.11,0.38,2,Exposed father group,BP05
S38,28370990,11813284,10145967,10364445,8697128,438275,1010564,85.8860838357903,83.9131087096318,3.7100183149749,8.55447139000468,73.8%,32%,11.9,73.4427364077469,31,95.8719331559285,18.1818181818182,11813284,Fam11,E_05,S52,V48_360,3.5,0,978,44,S38,Fam11,O,TC,F,11.8,69.6,E_control,control,50,100.894,0.57146,-0.01056,0.5,36.3,15.6,4.2,1289473.3,184,35.11,1.28,2,Exposed father group,BP05
S39,23611519,11533176,9683979,10181710,8332513,311608,1039858,83.966281274126,81.8380507792895,2.70184032568306,9.01623282259804,71.2%,32%,11.6,70.746579214755,31,95.1867695420585,18.1818181818182,11533176,Fam11,E_05,S52,V48_385,3.8,0,801,42,S39,Fam11,O,TC,M,11.6,66.2,E_control,control,47,16.6,1.4237,1.08751,0.9,23.7,0.5,4.9,251874.5,32,50.11,0.37,2,Exposed father group,BP05
S40,23188281,10486319,9139118,9220582,7873381,398367,867370,87.152774963264,85.3891977751513,3.79892124204881,8.27144396427383,70.9%,33%,10.6,70.41555260206,32,95.1507412658341,18.1818181818182,10486319,Fam11,E_05,S52,V48_386,2.8,0,692,40,S40,Fam11,O,TC,M,10.5,70.6,E_control,control,45,0.306,1.18017,0.99536,0.6,12.9,8.2,2.5,1433789.8,215,65.11,0.39,2,Exposed father group,BP05
S41,17352681,6701724,5616939,5899023,4814238,181617,621084,83.8133441484609,81.6107684272463,2.7100041720608,9.26752578888656,73.7%,36%,6.8,72.8248386096505,35,92.2628028250641,27.2727272727273,6701724,Fam11,E_05,S52,V48_070,2.6,1,697,40,S41,Fam11,O,TT,M,6.7,66.8,E_exposed,infected,47,5.306,1.0996,0.90784,0.5,16,0.9,2.5,580396,84,75.11,0.78,3,Exposed father group,BP05
S42,34212684,13099208,11134647,11571402,9606841,362100,1165706,85.0024444225941,83.0222733597882,2.76428926084692,8.89905710329968,77.3%,35%,14,75.5766721257351,34,94.1797181936496,18.1818181818182,13099208,Fam11,E_05,S52,V48_133,3.4,2,710,41,S42,Fam11,O,TT,M,13.6,67.7,E_exposed,infected,47,-28.047,1.89011,1.6803,0.6,18,0.6,1.9,1263219,190,85.11,0.45,3,Exposed father group,BP05
S43,29478160,11679131,9710203,10160212,8191284,415492,1103427,83.1414854409973,80.6211917625341,3.55755920538951,9.44785189925518,76.8%,35%,11.8,76.0250265470907,34,93.1802809643971,27.2727272727273,11679131,Fam11,E_05,S52,V48_134,3.5,1,879,43,S43,Fam11,O,TT,F,11.7,66.9,E_exposed,infected,49,48.247,1.16678,0.72226,1.1,27.9,16,2.9,2376297.2,389,60.11,0.61,3,Exposed father group,BP05
S44,24594700,9888355,8575897,8714554,7402096,375957,797844,86.7272362288773,84.939470224179,3.80201762578305,8.06852100273504,75.3%,34%,10,74.6253736608692,33,94.0605498083352,18.1818181818182,9888355,Fam11,E_05,S52,V48_252,2.3,1,976,45,S44,Fam11,O,TT,F,10,69.9,E_exposed,infected,51,52.54,1.60368,1.02445,0.8,29.6,16.2,4,5123708.3,897,60.11,0.47,3,Exposed father group,BP05
